model;kms;img;title;link;price;year;maker;cc;type
Pulsar 200 NS;29000;http://mco-s1-p.mlstatic.com/bajaj-pulsar-200-ns-126-cc-250-cc-801121-MCO20695761748_052016-O.jpg;Bajaj Pulsar 200 Ns 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422707081-bajaj-pulsar-200-ns-126-cc-250-cc-_JM; 6300000;2014;Bajaj;126 cc - 250 cc;De Calle
Pulsar 180 DTS;36000;http://mco-s1-p.mlstatic.com/bajaj-pulsar-180-dts-501-cc-o-mas-762911-MCO20660202371_042016-O.jpg;Bajaj Pulsar 180 Dts 501 Cc O Más;http://articulo.tumoto.com.co/MCO-421676303-bajaj-pulsar-180-dts-501-cc-o-mas-_JM; 3500000;2010;Bajaj;501 cc o más;De Calle
Pulsar 135 LS;19000;http://mco-s2-p.mlstatic.com/bajaj-pulsar-135-ls-126-cc-250-cc-423911-MCO20673319502_042016-O.jpg;Bajaj Pulsar 135 Ls 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422012444-bajaj-pulsar-135-ls-126-cc-250-cc-_JM; 3600000;2014;Bajaj;126 cc - 250 cc;De Calle
Discover 125 ST;20300;http://mco-s1-p.mlstatic.com/bajaj-discover-125-st-051-cc-125-cc-528911-MCO20654096311_042016-O.jpg;Bajaj Discover 125 St 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-421534804-bajaj-discover-125-st-051-cc-125-cc-_JM; 3750000;2014;Bajaj;051 cc - 125 cc;De Calle
Discover 125 ST;12800;http://mco-s1-p.mlstatic.com/bajaj-051-cc-125-cc-2014-255911-MCO20668698258_042016-O.jpg;Bajaj 051 Cc - 125 Cc 2014;http://articulo.tumoto.com.co/MCO-421895348-bajaj-051-cc-125-cc-2014-_JM; 3500000;2014;Bajaj;051 cc - 125 cc;De Calle
PULSAR 180;26000;http://mco-s1-p.mlstatic.com/bajaj-pulsar-180-126-cc-250-cc-685911-MCO20676965680_042016-O.jpg;Bajaj Pulsar 180 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422094220-bajaj-pulsar-180-126-cc-250-cc-_JM; 4700000;2014;Bajaj;126 cc - 250 cc;De Calle
2011;35000;http://mco-s2-p.mlstatic.com/bajaj-2011-126-cc-250-cc-229501-MCO20369617345_082015-O.jpg;Bajaj 2011 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-421657321-bajaj-2011-126-cc-250-cc-_JM; 4900000;2011;Bajaj;126 cc - 250 cc;De Calle
Pulsar 135;8000;http://mco-s2-p.mlstatic.com/bajaj-pulsar-135-126-cc-250-cc-829911-MCO20654264090_042016-O.jpg;Bajaj Pulsar 135 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-421538128-bajaj-pulsar-135-126-cc-250-cc-_JM; 3950000;2015;Bajaj;126 cc - 250 cc;De Calle
Pulsar 200;21700;http://mco-s2-p.mlstatic.com/bajaj-pulsar-200-126-cc-250-cc-329021-MCO20681520867_042016-O.jpg;Bajaj Pulsar 200 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422216752-bajaj-pulsar-200-126-cc-250-cc-_JM; 5500000;2013;Bajaj;126 cc - 250 cc;De Calle
NS 200;4600;http://mco-s2-p.mlstatic.com/bajaj-ns-200-126-cc-250-cc-455911-MCO20662360817_042016-O.jpg;Bajaj Ns 200 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-421722003-bajaj-ns-200-126-cc-250-cc-_JM; 7300000;2015;Bajaj;126 cc - 250 cc;De Calle
